codigo_pre,tipsum,codigo_med,fecha_carga,precio_adq,precio_ope,stk_,fv_,valid_tipsum,periodo
05617F01,S,19898,2021-10-01 01:58:50.873,14.500000,18.125000,2970,2023-09-01 00:00:00.000,1,20210930
05617F01,S,19701,2021-10-01 01:58:20.167,7.432000,9.290000,1,2021-11-30 00:00:00.000,1,20210930
05617F01,S,19421,2021-10-01 01:58:51.233,0.594000,0.742500,3500,2024-04-30 00:00:00.000,1,20210930
05617F01,S,19054,2021-10-01 01:58:40.450,3.780000,4.725000,600,2021-11-30 00:00:00.000,1,20210930
05617F01,S,17303,2021-10-01 01:58:25.623,2.250000,2.812500,10,2024-06-01 00:00:00.000,1,20210930
05617F01,S,17063,2021-10-01 01:58:12.713,5.150000,6.437000,0,2024-01-31 00:00:00.000,1,20210930
05617F01,S,16774,2021-10-01 01:58:40.140,4.496000,5.620000,533,2024-07-01 00:00:00.000,1,20210930
05617F01,S,15334,2021-10-01 01:58:49.763,1.500000,1.875000,2043,2024-04-01 00:00:00.000,1,20210930
05617F01,S,12413,2021-10-01 01:58:24.590,2.750000,3.437500,6,2024-05-30 00:00:00.000,1,20210930
05617F01,S,12223,2021-10-01 01:58:19.010,3.000000,3.750000,0,2023-08-31 00:00:00.000,1,20210930
05617F01,S,12221,2021-10-01 01:58:27.967,2.300000,2.875000,54,2022-06-01 00:00:00.000,1,20210930
05617F01,S,11285,2021-10-01 01:58:22.260,474.360000,592.950000,3,2022-07-12 00:00:00.000,1,20210930
05617F01,S,10482,2021-10-01 01:58:52.327,0.673000,0.841300,6601,2024-03-01 00:00:00.000,1,20210930
05617F01,S,10338,2021-10-01 01:58:26.810,8.000000,10.000000,21,2022-05-31 00:00:00.000,1,20210930
05617F01,S,06357,2021-10-01 01:58:29.090,34.920000,43.650000,124,2023-08-30 00:00:00.000,1,20210930
05617F01,S,05731,2021-10-01 01:58:47.873,2.930000,3.662500,1721,2021-10-01 00:00:00.000,1,20210930
05617F01,S,05638,2021-10-01 01:58:18.307,10.149700,12.687200,0,2021-06-30 00:00:00.000,1,20210930
05617F01,S,05172,2021-10-01 01:58:39.653,1.050000,1.050000,500,2025-03-31 00:00:00.000,1,20210930
05617F01,S,04585,2021-10-01 01:58:36.717,0.072000,0.090000,292,2022-02-28 00:00:00.000,1,20210930
05617F01,S,04556,2021-10-01 01:58:46.140,0.579000,0.723700,1497,2022-06-01 00:00:00.000,1,20210930
05617F01,S,04187,2021-10-01 01:58:40.500,2.339700,2.924600,600,2022-06-30 00:00:00.000,1,20210930
05617F01,S,04024,2021-10-01 01:58:36.937,1.300000,1.625000,298,2022-06-01 00:00:00.000,1,20210930
05617F01,S,03882,2021-10-01 01:58:53.687,0.204800,0.255900,13820,2023-11-30 00:00:00.000,1,20210930
05617F01,S,03878,2021-10-01 01:58:38.700,2.872700,3.590900,423,2022-04-30 00:00:00.000,1,20210930
05617F01,S,03501,2021-10-01 01:58:52.420,17.300000,21.625000,7095,2022-03-31 00:00:00.000,1,20210930
05945F2601,S,37692,2021-10-01 02:21:55.557,51.300000,68.400000,363,2024-02-29 00:00:00.000,1,20210930
05945F1501,S,18726,2021-10-01 02:20:03.663,0.159375,0.212500,200,2022-09-30 00:00:00.000,1,20210930
05945F1501,S,16572,2021-10-01 02:21:37.243,0.660000,0.880000,126,2023-10-31 00:00:00.000,1,20210930
05945F1501,S,03552,2021-10-01 02:21:58.273,0.022500,0.030000,601,2023-09-30 00:00:00.000,1,20210930
05945F1501,S,02754,2021-10-01 02:21:28.163,0.022500,0.030000,100,2022-10-31 00:00:00.000,1,20210930
05945F1501,S,02724,2021-10-01 02:20:31.527,1.298156,1.730875,9,2024-10-31 00:00:00.000,1,20210930
05945F1501,S,02354,2021-10-01 02:20:57.990,0.322500,0.430000,31,2022-05-30 00:00:00.000,1,20210930
05945F1501,S,02149,2021-10-01 02:21:48.900,0.015000,0.020000,257,2022-11-30 00:00:00.000,1,20210930
05945F1501,S,01628,2021-10-01 02:20:35.370,2.700000,3.600000,14,2022-01-31 00:00:00.000,1,20210930
05945F1001,S,04831,2021-10-01 02:21:35.057,8.250000,11.000000,126,2023-11-30 00:00:00.000,1,20210930
05945F0801,S,32251,2021-10-01 02:20:23.493,45.161590,60.215453,6,2021-11-30 00:00:00.000,1,20210930
05945F0801,S,17734,2021-10-01 02:20:44.433,3.597287,4.796383,20,2022-07-31 00:00:00.000,1,20210930
05945F0601,S,21358,2021-10-01 02:20:21.853,0.652500,0.870000,4,2024-11-30 00:00:00.000,1,20210930
05945F0601,S,17074,2021-10-01 02:20:31.310,1.402500,1.870000,9,2023-01-31 00:00:00.000,1,20210930
05945F0601,S,16571,2021-10-01 02:21:31.210,1.125000,1.500000,62,2023-12-31 00:00:00.000,1,20210930
05945F0601,S,12798,2021-10-01 02:20:47.403,3.562500,4.750000,9,2023-10-31 00:00:00.000,1,20210930
05945F0601,S,12008,2021-10-01 02:20:39.980,3.271875,4.362500,64,2025-01-31 00:00:00.000,1,20210930
05945F0601,S,11370,2021-10-01 02:20:52.560,0.082500,0.110000,97,2024-01-31 00:00:00.000,1,20210930
05945F0601,S,03215,2021-10-01 02:21:48.243,0.281250,0.375000,678,2023-08-31 00:00:00.000,1,20210930
05945F0201,S,26356,2021-10-01 02:20:19.837,2.878125,3.837500,1,2023-01-31 00:00:00.000,1,20210930
05945F0201,S,10151,2021-10-01 02:21:59.167,0.045000,0.060000,629,2023-06-30 00:00:00.000,1,20210930
05945F0201,S,06471,2021-10-01 02:21:06.163,3.375000,4.500000,36,2021-12-31 00:00:00.000,1,20210930
05945F0201,S,04696,2021-10-01 02:21:23.913,0.022500,0.030000,63,2021-11-30 00:00:00.000,1,20210930
05945F0201,S,03213,2021-10-01 02:20:59.537,1.312500,1.750000,34,2022-02-28 00:00:00.000,1,20210930
05945F0201,S,02953,2021-10-01 02:20:36.357,0.075000,0.100000,15,2022-08-31 00:00:00.000,1,20210930
05945F0201,S,02003,2021-10-01 02:20:58.990,0.015000,0.020000,33,2022-03-31 00:00:00.000,1,20210930
05945F0101,S,22187,2021-10-01 02:20:33.543,10.500000,14.000000,11,2022-02-28 00:00:00.000,1,20210930
05945F0101,S,19466,2021-10-01 02:20:34.637,33.581250,44.775000,11,2023-03-31 00:00:00.000,1,20210930
05945F0101,S,16601,2021-10-01 02:21:13.930,0.210000,0.280000,53,2024-06-30 00:00:00.000,1,20210930
05945F0101,S,12414,2021-10-01 02:20:12.540,2.334375,3.112500,2,2024-08-31 00:00:00.000,1,20210930
05945F0101,S,05551,2021-10-01 02:21:15.380,0.172500,0.230000,54,2022-02-28 00:00:00.000,1,20210930
05945F0101,S,05281,2021-10-01 02:20:19.180,0.877500,1.170000,3,2021-10-31 00:00:00.000,1,20210930
05945F0101,S,03713,2021-10-01 02:21:22.227,0.022500,0.030000,49,2022-09-30 00:00:00.000,1,20210930
05945F0101,S,03078,2021-10-01 02:21:35.210,0.028031,0.037375,97,2022-09-30 00:00:00.000,1,20210930
05945F0101,S,02381,2021-10-01 02:21:10.083,2.541469,3.388625,48,2024-03-31 00:00:00.000,1,20210930
05617F01,S,46472,2021-10-01 01:58:27.873,329.821000,412.276300,51,2021-10-25 00:00:00.000,1,20210930
05617F01,S,46015,2021-10-01 01:58:17.040,1156.400000,1445.500000,0,2022-04-30 00:00:00.000,1,20210930
05617F01,S,45847,2021-10-01 01:58:18.870,738.600000,923.250000,0,2023-12-09 00:00:00.000,1,20210930
05617F01,S,45841,2021-10-01 01:58:10.807,562.100000,702.625000,0,2022-12-01 00:00:00.000,1,20210930
05617F01,S,45745,2021-10-01 01:58:14.493,332.500000,415.625000,0,2023-07-09 00:00:00.000,1,20210930
05617F01,S,45742,2021-10-01 01:58:17.730,581.180000,726.475000,0,2022-12-12 00:00:00.000,1,20210930
05617F01,S,45692,2021-10-01 01:58:27.827,250.000000,312.500000,50,2022-02-28 00:00:00.000,1,20210930
